what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672507378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672524759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672533968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1348672545098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672545114
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672548825
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348672550234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672550246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672552386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1348672560349
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672560371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672566076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1348672590521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1348672590521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672590536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672595560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672601968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672602016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672602019
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672640546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1348672645024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672645059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672649535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672650834
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348672660249
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348672660352
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348672660395
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1348672662366
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.4.v201103310001,"org.eclipse.wst.jsdt.debug.ui",1348672662728
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348672663610
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348672663662
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348672663662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672668368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672678250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672681823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1348672687916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672687928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672690179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1348672697571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672697587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348672703454
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348672704803
