what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348683234870
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348683236728
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348683236728
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1348683237818
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683237828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683245371
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348683247013
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348683282894
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348683282988
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348683283023
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348683285268
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348683290964
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348683302582
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348683302966
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348683303083
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348683303109
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348683315158
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348683362423
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348683364749
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348683398990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1348683401985
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683401996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683504553
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683513563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683532365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348683540374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348683545388
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683553853
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348683555652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683555703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683559884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683562113
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348683586910
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348683602753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348683615701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683616385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348683616886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683665897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683680671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683683378
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348683687003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683687843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348683693636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683701961
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348683705166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683706108
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348683707444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683818992
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348683835341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683836181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348683836972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683919235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348683932212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683935809
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348683938541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683938608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683942256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683944913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348683980089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683983070
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348683984960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683985024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683987724
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348683990322
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348684014778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348684024551
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348684028676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684031013
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348684033115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684033154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684036128
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684041206
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348684061555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348684065626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684067297
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348684068865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684068924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684072406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684074738
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348684115846
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348684117727
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348684117784
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348684117805
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348684120860
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348684255362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1348684316085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684316102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684320872
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348684320962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684322083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684323058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348684323678
