what,kind,bundleId,bundleVersion,description,time
error,log,,,"scan_qr.xml: Failed to find style 'scrollViewStyle' in current theme",1348678946482
error,log,,,"scan_qr.xml: Failed to find style 'scrollViewStyle' in current theme",1348678946482
error,log,,,"scan_qr.xml: Failed to find style 'scrollViewStyle' in current theme",1348678946482
error,log,,,"scan_qr.xml: Failed to find style 'textViewStyle' in current theme",1348678946482
error,log,,,"scan_qr.xml: Failed to find style 'textViewStyle' in current theme",1348678946483
error,log,,,"scan_qr.xml: Failed to find style 'textViewStyle' in current theme",1348678946483
error,log,,,"scan_qr.xml: Failed to find style 'textViewStyle' in current theme",1348678946483
error,log,,,"scan_qr.xml: Failed to find style 'textViewStyle' in current theme",1348678946484
error,log,,,"scan_qr.xml: Failed to find style 'textViewStyle' in current theme",1348678946484
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946485
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946485
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946485
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946485
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946486
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946486
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946486
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946486
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946487
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946487
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946487
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946488
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946488
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946488
error,log,,,"scan_qr.xml: Failed to find style 'buttonStyle' in current theme",1348678946489
error,log,,,"scan_qr.xml: Failed to find style 'textViewStyle' in current theme",1348678946490
error,log,,,"scan_qr.xml: Failed to find style 'textViewStyle' in current theme",1348678946490
error,log,,,"scan_qr.xml: Failed to find style 'textViewStyle' in current theme",1348678946490
error,log,,,"scan_qr.xml: Failed to find style 'imageButtonStyle' in current theme",1348678946491
error,log,,,"scan_qr.xml: Failed to find style 'imageButtonStyle' in current theme",1348678946491
error,log,,,"scan_qr.xml: Failed to find style 'imageButtonStyle' in current theme",1348678946493
error,log,,,"scan_qr.xml: Failed to find style 'imageButtonStyle' in current theme",1348678946493
error,log,,,"scan_qr.xml: Failed to find style 'imageButtonStyle' in current theme",1348678946494
error,log,,,"scan_qr.xml: Failed to find style 'imageButtonStyle' in current theme",1348678946495
error,log,,,"scan_qr.xml: java.lang.NullPointerException",1348678946504
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348679030902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348679034908
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348679036344
