what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348743779686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348743779744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348743781537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348743784153
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348743785160
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348743806782
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1348743810755
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348743836155
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1348743845210
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348743871608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348743876031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348743878195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348743886876
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348743894288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348743950822
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1348743963890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348743963900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348743975899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348743977970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348743980015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348743984807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348743987678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348743989248
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348743990902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348743998844
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348744003496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348744018154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348744021474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348744022224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744024631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744029803
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348744031434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744031479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744034606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744036664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744037405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744060543
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348744075337
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348744082492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744088260
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744100503
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744103816
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348744105677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744105743
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744108129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744110161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744111144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744132474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744153775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744159631
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348744161364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744161438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744164231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744166327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744167188
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744185324
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744190614
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744192059
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744192496
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744192903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744193427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744194206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744195396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744196606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744197540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744198463
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744198981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744200519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744201530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744201949
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744202509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744203035
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744203833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744204250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744205316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744206521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744208149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744208573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744209467
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744209985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348744210573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744214639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744224101
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348744226089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744226150
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744228781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744231212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744231896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744253544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744274863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744277620
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348744279396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744279459
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744279945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744280865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744282117
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744283914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744284601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744306318
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348744396593
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348744399941
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348744399941
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348744412752
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348744419598
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348744422859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348744427607
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348744428872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1348744430299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744430315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348744431726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744438979
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348744439122
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348744452606
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348744457538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744524231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744527171
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348744529794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744529860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744532789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744534595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744537623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744580982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1348744606807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744623061
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348744645018
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348744646584
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348744646627
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348744646643
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348744647861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744680747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744685759
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744693427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744697431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744705484
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348744707040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744707059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744710733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744712877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744713722
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744744693
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348744746547
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348744746547
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348744751025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744803382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744807926
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348744809592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744809667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744810206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744812210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744812840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744861165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744907575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348744920914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744924843
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348744926676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744926751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744930259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744932093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744938733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348744984860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348745003646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348745017582
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348745332831
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745333134
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745333312
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348745333338
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745483542
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745495898
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348745697319
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745697601
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745697685
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348745697715
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745713518
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348745719074
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745719363
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745719457
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348745719483
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745766413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348745782344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348745851663
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745860046
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348745863433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348745873912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348745876102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348745877336
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1348745878522
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openSearchDialog",1348745878644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348745878696
