what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1348740077172
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740077354
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348740091430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740093517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740096642
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348740096680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1348740329327
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740329341
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348740332306
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348740333587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740335787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1348740336922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740336941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740383320
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740609637
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740805006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348740860009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740881947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740903791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348740934012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740987584
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348740989371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740989451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740993643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348740995270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741008720
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741015239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348741089418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741099805
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348741101410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741101486
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741105732
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741107999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741123082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741138692
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348741145218
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348741183185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741189729
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741190319
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348741191694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741204966
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741205609
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348741206795
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348741240317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348741248719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741251743
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348741253530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741253580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741257100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741259350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741259988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741285630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348741297230
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741311603
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348741313294
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741313356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741316538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741318653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741327074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741343899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348741387872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741390612
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348741392442
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741392530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741395938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741398734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741403376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348741426561
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348741484846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348741502269
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1348741502486
