what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686702754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686703578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686707910
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348686710896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348686717918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686720598
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686729004
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348686731984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686741631
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686776787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686810092
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686819081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686882211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686890558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686914182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686976297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348686991964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687086163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687104157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687114392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1348687114685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687114697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348687117820
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687136033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687137107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687145674
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348687148383
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348687161630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687164810
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348687166817
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687166856
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687169470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687171611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687210707
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348687212296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687212318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687212725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687215043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687233950
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348687236358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687236398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687236884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687239650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687260487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687306128
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687309425
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348687311096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687311134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687311590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687313526
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687345532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687363915
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348687368862
opened,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1348687369524
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1348687369618
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348687369639
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1348687371018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348687396089
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348687397640
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687399120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687403777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687405614
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348687408507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687408567
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687411616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687413277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687434426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687440931
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687443561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687452030
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348687454805
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1348687455847
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687455863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348687457140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687476516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687500507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687519449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348687521092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348687529610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687532702
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1348687534343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687534366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687537739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687539625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687581960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687634609
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.ClassFileEditor",1348687634790
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348687643415
